date;Heat Flux;T1;T2;U;Analysis period;U24;U2/3s;U2/3e;
2018-12-14 16:35:26;34.6756896972656;23.875;12.75;;0;0;0;0;
2018-12-14 16:45:26;31.7570953369141;24;12.6875;;0;0;0;0;
2018-12-14 16:55:26;32.8689422607422;23.9375;12.5625;;0;0;0;0;
2018-12-14 17:05:26;34.1197662353516;24;11.8125;;0;0;0;0;
2018-12-14 17:15:26;31.201171875;24;11.375;;0;0;0;0;
2018-12-14 17:25:26;32.4519996643066;23.875;11.375;;0;0;0;0;
2018-12-14 17:35:26;28.8385009765625;23.625;11.25;;0;0;0;0;
2018-12-14 17:45:26;31.201171875;23.375;11.5;;0;0;0;0;
2018-12-14 17:55:26;26.0588855743408;23.25;11;;0;0;0;0;
2018-12-14 18:05:26;28.2825775146484;23.125;11.125;;0;0;0;0;
2018-12-14 18:15:26;27.8656349182129;23.125;11.1875;;0;0;0;0;
2018-12-14 18:25:26;25.6419429779053;23.125;10.875;;0;0;0;0;
2018-12-14 18:35:26;25.7809238433838;23.125;10.9375;;0;0;0;0;
2018-12-14 18:45:26;26.0588855743408;23.125;10.75;;0;0;0;0;
2018-12-14 18:55:26;27.0317516326904;23.0625;10.25;;0;0;0;0;
2018-12-14 19:05:26;24.3911170959473;23;11;;0;0;0;0;
2018-12-14 19:15:26;27.7266540527344;23;11.375;;0;0;0;0;
2018-12-14 19:25:26;26.7537899017334;23;10.625;;0;0;0;0;
2018-12-14 19:35:26;26.3368473052979;23;11.75;;0;0;0;0;
2018-12-14 19:45:26;25.9199047088623;23;10.375;;0;0;0;0;
2018-12-14 19:55:26;25.6419429779053;23;10.125;;0;0;0;0;
2018-12-14 20:05:26;25.9199047088623;23;9.875;;0;0;0;0;
2018-12-14 20:15:26;25.9199047088623;22.9375;9.5;;0;0;0;0;
2018-12-14 20:25:26;25.6419429779053;22.875;9.5;;0;0;0;0;
2018-12-14 20:35:26;24.6690788269043;22.875;10;;0;0;0;0;
2018-12-14 20:45:26;25.0860214233398;22.875;10.25;;0;0;0;0;
2018-12-14 20:55:26;25.2250022888184;22.875;10.3125;;0;0;0;0;
2018-12-14 21:05:26;24.9470405578613;22.875;11;;0;0;0;0;
2018-12-14 21:15:26;25.3639831542969;22.875;10.5;;0;0;0;0;
2018-12-14 21:25:26;23.9741744995117;23;10.5625;;0;0;0;0;
2018-12-14 21:35:26;24.8080596923828;22.875;10.1875;;0;0;0;0;
2018-12-14 21:45:26;24.5300979614258;22.8125;10.125;;0;0;0;0;
2018-12-14 21:55:26;23.0013103485107;22.875;10.25;;0;0;0;0;
2018-12-14 22:05:26;23.5572338104248;22.875;10.125;;0;0;0;0;
2018-12-14 22:15:26;24.8080596923828;22.875;10;;0;0;0;0;
2018-12-14 22:25:26;22.8623294830322;22.875;10.125;;0;0;0;0;
2018-12-14 22:35:26;24.3911170959473;22.875;10.25;;0;0;0;0;
2018-12-14 22:45:26;24.9470405578613;22.875;10.25;;0;0;0;0;
2018-12-14 22:55:26;24.8080596923828;22.8125;10.125;;0;0;0;0;
2018-12-14 23:05:26;23.1402912139893;22.8125;10.3125;;0;0;0;0;
2018-12-14 23:15:26;23.4182529449463;22.8125;10.0625;;0;0;0;0;
2018-12-14 23:25:26;24.6690788269043;22.75;9.875;;0;0;0;0;
2018-12-14 23:35:26;24.1131553649902;22.75;10.125;;0;0;0;0;
2018-12-14 23:45:26;24.9470405578613;22.875;10.4375;;0;0;0;0;
2018-12-14 23:55:26;24.5300979614258;22.875;9.25;;0;0;0;0;
2018-12-15 00:05:26;24.5300979614258;22.9375;9.75;;0;0;0;0;
2018-12-15 00:15:26;23.1402912139893;22.875;10;;0;0;0;0;
2018-12-15 00:25:26;23.4182529449463;22.8125;10.125;;0;0;0;0;
2018-12-15 00:35:26;23.6962127685547;22.75;10.5;;0;0;0;0;
2018-12-15 00:45:26;25.6419429779053;22.75;10.125;;0;0;0;0;
2018-12-15 00:55:26;25.2250022888184;22.75;10.5;;0;0;0;0;
2018-12-15 01:05:26;23.0013103485107;22.6875;10.5;;0;0;0;0;
2018-12-15 01:15:26;22.4453868865967;22.625;9.75;;0;0;0;0;
2018-12-15 01:25:26;22.8623294830322;22.625;10.125;;0;0;0;0;
2018-12-15 01:35:26;26.3368473052979;22.75;10.0625;;0;0;0;0;
2018-12-15 01:45:26;24.9470405578613;22.875;10.4375;;0;0;0;0;
2018-12-15 01:55:26;25.0860214233398;22.875;9.875;;0;0;0;0;
2018-12-15 02:05:26;26.8927707672119;22.875;9.3125;;0;0;0;0;
2018-12-15 02:15:26;25.5029640197754;23;9.375;;0;0;0;0;
2018-12-15 02:25:26;26.7537899017334;22.875;9.75;;0;0;0;0;
2018-12-15 02:35:26;25.0860214233398;22.75;9.6875;;0;0;0;0;
2018-12-15 02:45:26;24.1131553649902;22.8125;9.875;;0;0;0;0;
2018-12-15 02:55:26;22.0284442901611;22.75;9.9375;;0;0;0;0;
2018-12-15 03:05:26;26.7537899017334;22.75;10;;0;0;0;0;
2018-12-15 03:15:26;23.2792720794678;22.75;10.125;;0;0;0;0;
2018-12-15 03:25:26;22.7233486175537;22.75;10.125;;0;0;0;0;
2018-12-15 03:35:26;23.2792720794678;22.6875;10.125;;0;0;0;0;
2018-12-15 03:45:26;24.8080596923828;22.75;10;;0;0;0;0;
2018-12-15 03:55:26;25.2250022888184;22.75;9.9375;;0;0;0;0;
2018-12-15 04:05:26;24.5300979614258;22.8125;9.25;;0;0;0;0;
2018-12-15 04:15:26;24.3911170959473;22.8125;9.625;;0;0;0;0;
2018-12-15 04:25:26;25.9199047088623;22.75;10.25;;0;0;0;0;
2018-12-15 04:35:26;22.8623294830322;22.8125;10.625;;0;0;0;0;
2018-12-15 04:45:26;22.8623294830322;22.75;9.75;;0;0;0;0;
2018-12-15 04:55:26;24.5300979614258;22.875;9.125;;0;0;0;0;
2018-12-15 05:05:26;24.1131553649902;22.8125;9.1875;;0;0;0;0;
2018-12-15 05:15:26;24.2521362304688;22.875;9.3125;;0;0;0;0;
2018-12-15 05:25:26;24.5300979614258;22.75;9.5;;0;0;0;0;
2018-12-15 05:35:26;25.0860214233398;22.75;8.75;;0;0;0;0;
2018-12-15 05:45:26;23.5572338104248;22.8125;9.625;;0;0;0;0;
2018-12-15 05:55:26;24.1131553649902;22.75;9.875;;0;0;0;0;
2018-12-15 06:05:26;23.9741744995117;22.75;10.125;;0;0;0;0;
2018-12-15 06:15:26;25.6419429779053;22.875;10.25;;0;0;0;0;
2018-12-15 06:25:26;24.2521362304688;22.8125;10.625;;0;0;0;0;
2018-12-15 06:35:26;24.2521362304688;22.75;10.125;;0;0;0;0;
2018-12-15 06:45:26;25.7809238433838;22.75;9.375;;0;0;0;0;
2018-12-15 06:55:26;25.7809238433838;22.875;9.125;;0;0;0;0;
2018-12-15 07:05:26;25.5029640197754;23.1875;9.5;;0;0;0;0;
2018-12-15 07:15:26;26.4758281707764;23.4375;9.5;;0;0;0;0;
2018-12-15 07:25:26;30.3672885894775;23.75;9.25;;0;0;0;0;
2018-12-15 07:35:26;28.699520111084;23.75;9.1875;;0;0;0;0;
2018-12-15 07:45:26;30.6452503204346;23.75;9.3125;;0;0;0;0;
2018-12-15 07:55:26;28.977481842041;23.75;9;;0;0;0;0;
2018-12-15 08:05:26;29.3944225311279;23.75;8.625;;0;0;0;0;
2018-12-15 08:15:26;29.8113651275635;23.8125;8.875;;0;0;0;0;
2018-12-15 08:25:26;29.3944225311279;23.875;9.4375;;0;0;0;0;
2018-12-15 08:35:26;31.3401527404785;23.875;8.875;;0;0;0;0;
2018-12-15 08:45:26;32.8689422607422;23.875;9.3125;;0;0;0;0;
2018-12-15 08:55:26;30.0893268585205;23.875;9;;0;0;0;0;
2018-12-15 09:05:26;30.6452503204346;23.9375;9;;0;0;0;0;
2018-12-15 09:15:26;31.7570953369141;24;8.75;;0;0;0;0;
2018-12-15 09:25:26;30.6452503204346;24;9.5625;;0;0;0;0;
2018-12-15 09:35:26;30.7842311859131;24;9.375;;0;0;0;0;
2018-12-15 09:45:26;32.8689422607422;24.0625;9.75;;0;0;0;0;
2018-12-15 09:55:26;30.9232120513916;24;9.875;;0;0;0;0;
2018-12-15 10:05:26;30.6452503204346;24.125;9.5;;0;0;0;0;
2018-12-15 10:15:26;30.9232120513916;24.0625;9.25;;0;0;0;0;
2018-12-15 10:25:26;32.7299613952637;24.125;9.125;;0;0;0;0;
2018-12-15 10:35:26;31.7570953369141;24.0625;9.8125;;0;0;0;0;
2018-12-15 10:45:26;31.6181144714355;24.125;9.6875;;0;0;0;0;
2018-12-15 10:55:26;31.6181144714355;24.125;10.0625;;0;0;0;0;
2018-12-15 11:05:26;31.8960762023926;24.125;9.9375;;0;0;0;0;
2018-12-15 11:15:26;30.0893268585205;24.125;10;;0;0;0;0;
2018-12-15 11:25:26;30.5062694549561;24.125;10.125;;0;0;0;0;
2018-12-15 11:35:26;31.3401527404785;24.0625;10.125;;0;0;0;0;
2018-12-15 11:45:26;31.7570953369141;24.125;10.3125;;0;0;0;0;
2018-12-15 11:55:26;32.1740379333496;24.25;10.375;;0;0;0;0;
2018-12-15 12:05:26;34.9536514282227;24.375;10.9375;;0;0;0;0;
2018-12-15 12:15:26;33.4248657226563;24.3125;10.125;;0;0;0;0;
2018-12-15 12:25:26;35.7875366210938;24.25;10.5;;0;0;0;0;
2018-12-15 12:35:26;32.1740379333496;24.25;11.125;;0;0;0;0;
2018-12-15 12:45:26;34.6756896972656;24.125;10.9375;;0;0;0;0;
2018-12-15 12:55:26;31.8960762023926;24.125;10.8125;;0;0;0;0;
2018-12-15 13:05:26;31.6181144714355;24.1875;10.8125;;0;0;0;0;
2018-12-15 13:15:26;32.3130187988281;24.125;10.75;;0;0;0;0;
2018-12-15 13:25:26;31.0621929168701;24.25;11;;0;0;0;0;
2018-12-15 13:35:26;33.4248657226563;24.375;11;;0;0;0;0;
2018-12-15 13:45:26;32.1740379333496;24.375;10.4375;;0;0;0;0;
2018-12-15 13:55:26;33.4248657226563;24.5;10.875;;0;0;0;0;
2018-12-15 14:05:26;31.8960762023926;24.375;11;;0;0;0;0;
2018-12-15 14:15:26;34.5367088317871;24.375;10.5;;0;0;0;0;
2018-12-15 14:25:26;32.0350570678711;24.25;10.625;;0;0;0;0;
2018-12-15 14:35:26;31.7570953369141;23.9375;10.375;;0;0;0;0;
2018-12-15 14:45:26;31.7570953369141;23.75;11.25;;0;0;0;0;
2018-12-15 14:55:26;32.3130187988281;23.5;11.125;;0;0;0;0;
2018-12-15 15:05:26;27.7266540527344;23.375;10.625;;0;0;0;0;
2018-12-15 15:15:26;26.8927707672119;23.25;10.1875;;0;0;0;0;
2018-12-15 15:25:26;27.7266540527344;23.25;10.1875;;0;0;0;0;
2018-12-15 15:35:26;25.7809238433838;23.25;10;;0;0;0;0;
2018-12-15 15:45:26;26.8927707672119;23.25;10.25;;0;0;0;0;
2018-12-15 15:55:26;27.4486923217773;23.25;10.375;;0;0;0;0;
2018-12-15 16:05:26;26.0588855743408;23.25;10.3125;;0;0;0;0;
2018-12-15 16:15:26;25.6419429779053;23.25;10.375;;0;0;0;0;
2018-12-15 16:25:26;27.1707324981689;23.125;10.75;;0;0;0;0;
2018-12-15 16:35:26;27.0317516326904;23.1875;10.125;;0;0;0;0;
2018-12-15 16:45:26;26.1978664398193;23.25;10.25;;0;0;0;0;
2018-12-15 16:55:26;25.9199047088623;23.125;10.5;;0;0;0;0;
2018-12-15 17:05:26;26.7537899017334;23.0625;10.5;;0;0;0;0;
2018-12-15 17:15:26;24.3911170959473;23.125;10.4375;;0;0;0;0;
2018-12-15 17:25:26;26.3368473052979;23.125;9.75;;0;0;0;0;
2018-12-15 17:35:26;24.6690788269043;23.125;9.75;;0;0;0;0;
2018-12-15 17:45:26;26.7537899017334;23.0625;9.0625;;0;0;0;0;
2018-12-15 17:55:26;25.9199047088623;23;9.9375;;0;0;0;0;
2018-12-15 18:05:26;26.3368473052979;23.125;9.75;;0;0;0;0;
2018-12-15 18:15:26;25.5029640197754;23.0625;9.625;;0;0;0;0;
2018-12-15 18:25:26;27.0317516326904;23.125;9.75;;0;0;0;0;
2018-12-15 18:35:26;26.3368473052979;23;9.3125;;0;0;0;0;
2018-12-15 18:45:26;23.8351936340332;23;10;;0;0;0;0;
2018-12-15 18:55:26;24.5300979614258;23;9.875;;0;0;0;0;
2018-12-15 19:05:26;24.2521362304688;23;10;;0;0;0;0;
2018-12-15 19:15:26;25.6419429779053;23;9.375;;0;0;0;0;
2018-12-15 19:25:26;25.3639831542969;23;10.0625;;0;0;0;0;
2018-12-15 19:35:26;25.6419429779053;22.875;9.625;;0;0;0;0;
2018-12-15 19:45:26;23.9741744995117;22.9375;9.375;;0;0;0;0;
2018-12-15 19:55:26;24.3911170959473;22.875;9.625;;0;0;0;0;
2018-12-15 20:05:26;25.7809238433838;23;9.875;;0;0;0;0;
2018-12-15 20:15:26;24.1131553649902;22.875;9.5625;;0;0;0;0;
2018-12-15 20:25:26;25.3639831542969;22.875;9.5;;0;0;0;0;
2018-12-15 20:35:26;24.3911170959473;22.875;9.625;;0;0;0;0;
2018-12-15 20:45:26;25.7809238433838;22.875;10;;0;0;0;0;
2018-12-15 20:55:26;24.6690788269043;22.875;9.5;;0;0;0;0;
2018-12-15 21:05:26;24.3911170959473;22.875;9.75;;0;0;0;0;
2018-12-15 21:15:26;23.9741744995117;22.875;10.0625;;0;0;0;0;
2018-12-15 21:25:26;25.5029640197754;22.875;9.8125;;0;0;0;0;
2018-12-15 21:35:26;23.6962127685547;22.875;9.875;;0;0;0;0;
2018-12-15 21:45:26;23.9741744995117;22.8125;9.5;;0;0;0;0;
2018-12-15 21:55:26;24.6690788269043;22.875;9.75;;0;0;0;0;
2018-12-15 22:05:26;25.3639831542969;22.75;9.625;;0;0;0;0;
2018-12-15 22:15:26;24.9470405578613;22.75;9.625;;0;0;0;0;
2018-12-15 22:25:26;24.9470405578613;22.75;9.75;;0;0;0;0;
2018-12-15 22:35:26;27.1707324981689;22.6875;9.5;;0;0;0;0;
2018-12-15 22:45:26;23.1402912139893;22.6875;10;;0;0;0;0;
2018-12-15 22:55:26;25.5029640197754;22.75;9.75;;0;0;0;0;
2018-12-15 23:05:26;25.7809238433838;22.75;9.75;;0;0;0;0;
2018-12-15 23:15:26;25.2250022888184;22.8125;9.625;;0;0;0;0;
2018-12-15 23:25:26;23.4182529449463;22.75;10;;0;0;0;0;
2018-12-15 23:35:26;24.6690788269043;22.625;9.875;;0;0;0;0;
2018-12-15 23:45:26;24.5300979614258;22.6875;9.5;;0;0;0;0;
2018-12-15 23:55:26;26.3368473052979;22.75;10;;0;0;0;0;
2018-12-16 00:05:26;23.6962127685547;22.75;9.3125;;0;0;0;0;
2018-12-16 00:15:26;24.6690788269043;22.75;8.875;;0;0;0;0;
2018-12-16 00:25:26;23.9741744995117;22.6875;8.125;;0;0;0;0;
2018-12-16 00:35:26;22.8623294830322;22.6875;9.375;;0;0;0;0;
2018-12-16 00:45:26;23.9741744995117;22.625;8.625;;0;0;0;0;
2018-12-16 00:55:26;24.1131553649902;22.625;8.6875;;0;0;0;0;
2018-12-16 01:05:26;25.7809238433838;22.5;8.625;;0;0;0;0;
2018-12-16 01:15:26;22.5843677520752;22.5;9.1875;;0;0;0;0;
2018-12-16 01:25:26;23.0013103485107;22.625;9.25;;0;0;0;0;
2018-12-16 01:35:26;24.5300979614258;22.625;10.125;;0;0;0;0;
2018-12-16 01:45:26;24.8080596923828;22.75;10.125;;0;0;0;0;
2018-12-16 01:55:26;25.7809238433838;22.625;10;;0;0;0;0;
2018-12-16 02:05:26;25.3639831542969;22.75;9.875;;0;0;0;0;
2018-12-16 02:15:26;23.9741744995117;22.75;9.6875;;0;0;0;0;
2018-12-16 02:25:26;24.8080596923828;22.75;9.375;;0;0;0;0;
2018-12-16 02:35:26;25.0860214233398;22.625;9.125;;0;0;0;0;
2018-12-16 02:45:26;24.2521362304688;22.625;8.875;;0;0;0;0;
2018-12-16 02:55:26;23.9741744995117;22.625;8.625;;0;0;0;0;
2018-12-16 03:05:26;24.6690788269043;22.625;8.5625;;0;0;0;0;
2018-12-16 03:15:26;26.1978664398193;22.625;9;;0;0;0;0;
2018-12-16 03:25:26;24.6690788269043;22.5;8.75;;0;0;0;0;
2018-12-16 03:35:26;25.3639831542969;22.5;9;;0;0;0;0;
2018-12-16 03:45:26;23.9741744995117;22.5;8.875;;0;0;0;0;
2018-12-16 03:55:26;24.8080596923828;22.625;8.6875;;0;0;0;0;
2018-12-16 04:05:26;23.6962127685547;22.625;8.75;;0;0;0;0;
2018-12-16 04:15:26;24.2521362304688;22.6875;8.875;;0;0;0;0;
2018-12-16 04:25:26;23.6962127685547;22.625;8.5625;;0;0;0;0;
2018-12-16 04:35:26;26.1978664398193;22.6875;8.625;;0;0;0;0;
2018-12-16 04:45:26;24.6690788269043;22.625;9.125;;0;0;0;0;
2018-12-16 04:55:26;25.3639831542969;22.625;9.5625;;0;0;0;0;
2018-12-16 05:05:26;24.3911170959473;22.625;9.625;;0;0;0;0;
2018-12-16 05:15:26;23.9741744995117;22.625;9.375;;0;0;0;0;
2018-12-16 05:25:26;23.9741744995117;22.625;9;;0;0;0;0;
2018-12-16 05:35:26;26.1978664398193;22.625;8.625;;0;0;0;0;
2018-12-16 05:45:26;23.8351936340332;22.625;8.8125;;0;0;0;0;
2018-12-16 05:55:26;26.4758281707764;22.625;8.625;;0;0;0;0;
2018-12-16 06:05:26;23.9741744995117;22.625;8.875;;0;0;0;0;
2018-12-16 06:15:26;25.6419429779053;22.625;9.375;;0;0;0;0;
2018-12-16 06:25:26;26.0588855743408;22.625;9.25;;0;0;0;0;
2018-12-16 06:35:26;25.3639831542969;22.6875;9.25;;0;0;0;0;
2018-12-16 06:45:26;25.9199047088623;22.6875;8.9375;;0;0;0;0;
2018-12-16 06:55:26;26.7537899017334;22.625;9.4375;;0;0;0;0;
2018-12-16 07:05:26;25.3639831542969;22.6875;8.75;;0;0;0;0;
2018-12-16 07:15:26;24.1131553649902;22.5625;8.375;;0;0;0;0;
2018-12-16 07:25:26;27.3097133636475;22.75;8;;0;0;0;0;
2018-12-16 07:35:26;26.3368473052979;22.9375;8.375;;0;0;0;0;
2018-12-16 07:45:26;28.977481842041;23.25;7.5;;0;0;0;0;
2018-12-16 07:55:26;29.672384262085;23.5;7.625;;0;0;0;0;
2018-12-16 08:05:26;30.9232120513916;23.625;8;;0;0;0;0;
2018-12-16 08:15:26;30.228307723999;23.625;7.5625;;0;0;0;0;
2018-12-16 08:25:26;31.479133605957;23.625;7.4375;;0;0;0;0;
2018-12-16 08:35:26;29.672384262085;23.625;7.5;;0;0;0;0;
2018-12-16 08:45:26;30.9232120513916;23.625;7.25;;0;0;0;0;
2018-12-16 08:55:26;31.3401527404785;23.75;7.125;;0;0;0;0;
2018-12-16 09:05:26;29.3944225311279;23.6875;7.1875;;0;0;0;0;
2018-12-16 09:15:26;30.7842311859131;23.75;7.9375;;0;0;0;0;
2018-12-16 09:25:26;29.3944225311279;23.875;8.125;;0;0;0;0;
2018-12-16 09:35:26;32.0350570678711;23.75;7.625;;0;0;0;0;
2018-12-16 09:45:26;31.0621929168701;23.75;8;;0;0;0;0;
2018-12-16 09:55:26;30.7842311859131;23.8125;8.125;;0;0;0;0;
2018-12-16 10:05:26;31.7570953369141;23.8125;8.25;;0;0;0;0;
2018-12-16 10:15:26;29.5334033966064;23.875;8.375;;0;0;0;0;
2018-12-16 10:25:26;32.5909805297852;23.75;7.875;;0;0;0;0;
2018-12-16 10:35:26;31.0621929168701;23.5;7.5;;0;0;0;0;
2018-12-16 10:45:26;29.672384262085;23.25;7.75;;0;0;0;0;
2018-12-16 10:55:26;27.4486923217773;23.125;7.75;;0;0;0;0;
2018-12-16 11:05:26;26.4758281707764;22.9375;8.0625;;0;0;0;0;
2018-12-16 11:15:26;26.0588855743408;22.875;7.9375;;0;0;0;0;
2018-12-16 11:25:26;27.1707324981689;22.875;8.5;;0;0;0;0;
2018-12-16 11:35:26;25.7809238433838;22.75;8.5;;0;0;0;0;
2018-12-16 11:45:26;25.3639831542969;22.8125;8.5625;;0;0;0;0;
2018-12-16 11:55:26;27.0317516326904;22.875;8.875;;0;0;0;0;
2018-12-16 12:05:26;26.7537899017334;22.875;8.6875;;0;0;0;0;
2018-12-16 12:15:26;25.5029640197754;22.875;9.125;;0;0;0;0;
2018-12-16 12:25:26;26.6148090362549;22.8125;9.125;1.94446093415561;1;1;1;0;
2018-12-16 12:35:26;25.3639831542969;22.75;9;1.89444345113628;1;1;1;0;
2018-12-16 12:45:26;26.1978664398193;22.625;9.1875;1.91257880441275;1;1;1;0;
2018-12-16 12:55:26;27.3097133636475;22.5625;9.0625;1.93997925506241;1;1;1;0;
2018-12-16 13:05:26;25.6419429779053;22.625;8.875;1.92481930234017;1;1;1;0;
2018-12-16 13:15:26;26.6148090362549;22.625;8.9375;1.92810541186467;1;1;1;0;
2018-12-16 13:25:26;24.8080596923828;22.625;9.3125;1.91906632011103;1;1;1;0;
2018-12-16 13:35:26;24.3911170959473;22.625;9;1.90291770847364;1;1;1;0;
